# Seize the Seas — LEVEL-GENERAL PRIZE POOLS, tiered by LEVEL (value) x AREA/biome (theme).
# Founder 2026-07-01: loot has THREE dims — (1) monster CORE signature (loot-signatures.js),
#   (2) LEVEL tier (CR band -> VALUE), (3) AREA/biome (theme). This sheet = the SECONDARY draw:
#   a HIDDEN low-but-CR-scaling chance to also draw from the CR-band + area-matched general pool.
# TIER sets VALUE: 0-1 copper/tin -> 2-3 iron/bronze/silver -> 4-5 fine/gold.
# AREA sets THEME: forest->pelts/herbs/timber/game; mountains->ore/stone/gems/coal;
#   at-sea->fish/salvage/pirate loot/pearls; swamp->hides/reeds/venom; cave->ore/fungus/bones;
#   coast/road->the existing tier-0-1 set.
# POOL COUNT KEPT SANE (founder add-on #2): existing 6 = coast/sea tier-0-1; +5 tier-2-3 area pools;
#   +4 tier-4-5 fine pools = 15 total. NOT a full areas x tiers matrix. Each new pool spans its band
#   and covers the areas the game actually fights in (see area-encounters.js AREAS/biomes).
# has_coin: which pools carry a LITTLE coin directly (most are trade-goods-only; coin from TRADING).
# All goods = ERC20 on Base from game/seas/commodity-tokens.csv (verified). address_or_TBD: existing
#   6 are LIVE; the 9 new are TBD until the coordinator's founder-gated deploy fires.
pool_name,tier,level_band,area,has_coin,contents,address_or_TBD,status
# ===== TIER 0-1  (CR0-1, VALUE: copper/tin) — the EXISTING 6 (coast/sea/road/cave starter) =====
Bilge Rats,0-1,CR0-1,at-sea/interior,YES (little copper),"food to feed the pawn (salt/rations/cod/apple/honey/ale/jerky/cinnamon) + a little COPPER + AMETHYST/EMERALD jackpots",0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57,LIVE (stocked)
Goblin Cave,0-1,CR0-1,cave/coast,YES (little copper),"forage food (rice/flour/pork) + a little COPPER + wooden/iron/steel longsword + iron crossbow jackpots",0xf917d1660c72F2D48141a965c82CCBE8a2A175A6,LIVE (stocked)
Smuggler's Cove,0-1,CR0-1,cove/coast,NO (trade goods),"TIN ORE + SALT + RATIONS + RICE (trade goods + food)",0xD91aC2c7A73318793541Efe8c39FFe866133945e,DEPLOYED (retune: drop copper coin)
Tidewater Wreck,0-1,CR0-1,at-sea/coast,NO (trade goods),"TIN/COPPER/IRON ORE + salvage (materials to trade/smith)",0x1C7Cc48C7638F62870A4D00eC0C80e60cf5095bD,DEPLOYED (retune: drop copper coin)
Coastal Cave,0-1,CR0-1,cave/coast,NO (trade goods),"COAL + SHALE + blueberry/blackberry (materials + forage food)",0xa0914dF5Faa9cc844F74e35Eda7e1F91A2bd445e,DEPLOYED (retune: drop copper coin)
Old Coast Road,0-1,CR0-1,plains/road,NO (trade goods),"FLOUR + CORN + WHEAT (produce + food)",0xDfabac2334A7360c416a27Dce1614657990096b0,DEPLOYED (retune: drop copper coin)
# ===== TIER 2-3  (CR2-3, VALUE: iron/bronze goods, quality hides/cloth/tools, rare SILVER) =====
Deepwood Cache,2-3,CR2-3,forest/woods,YES (rare silver),"quality game meat (bear/elk/pork) + hide/pelt (ARMORHIDE) + timber (LOGS/LUMBER) + herbs (honey/pepper) + rare SILVER",TBD,TO DEPLOY
Highland Lode,2-3,CR2-3,mountains/highlands,YES (rare silver),"IRON ORE + COPPER ORE + COAL + stone (GRANITE/LIMESTONE) + IRON/BRONZE INGOT + rare SILVER",TBD,TO DEPLOY
Corsair's Hold,2-3,CR2-3,at-sea/ocean,YES (rare silver),"salvaged pirate loot (bronze/iron gear: DAGGER/SHORTSWORD/SCIMITAR) + FISH/COD + SALT + rare SILVER",TBD,TO DEPLOY
Mire Harvest,2-3,CR2-3,swamp/marsh,NO (trade goods),"hides (ARMORHIDE) + reeds/timber (LOGS) + venom-goods (proxy: HEALPOTS/SALT) + JERKY + quality RATIONS",TBD,TO DEPLOY
Warren Depths,2-3,CR2-3,caves/underground,YES (rare silver),"IRON/TIN ORE + fungus/forage (proxy: HONEY/BLUBRY) + bones-to-goods (proxy: BRICK/SHALE) + IRON INGOT + rare SILVER",TBD,TO DEPLOY
# ===== TIER 4-5  (CR4-5, VALUE: fine goods, spices, quality materials, rare GOLD) =====
Wilds Bounty,4-5,CR4-5,forest/mountains,YES (rare gold),"fine pelts (ARMORSTUDDE/ARMOR) + STEEL/SILVER INGOT + GOLD ORE + fine timber (LUMBER) + spices (SAFFRON/CINNAMON/PEPPER) + rare GOLD",TBD,TO DEPLOY
Abyssal Trove,4-5,CR4-5,at-sea/deep-sea,YES (rare gold),"fine sea loot (steel gear: LONGSWORD/GREATSWORD) + gems (RUBY/DIAMOND jackpot) + WINE + fine FISH + rare GOLD",TBD,TO DEPLOY
Barrow Vault,4-5,CR4-5,ruins/crypt/underground,YES (rare gold),"grave goods (fine gear: STEEL/BRONZE) + gems (AMETHYST/EMERALD/PLATINUM) + GOLD INGOT + RELIC jackpot + rare GOLD",TBD,TO DEPLOY
Dragon's Hoard,4-5,CR4-5,apex/dragon,YES (gold),"apex hoard: GOLD INGOT + GOLDORE + gems (DIAMOND/RUBY/PLATINUM) + SPYGLASS/RELIC jackpots + GOLD coin",TBD,TO DEPLOY
